"","x"
"149","https://medals.org.uk/nigeria/nigeria-text.htm"
"150","https://medals.org.uk/nato/nato-text.htm"
"151","https://medals.org.uk/norway/norway-text.htm"
"152","https://medals.org.uk/oldenburg/oldenburg-text.htm"
"153","https://medals.org.uk/oman/oman-text.htm"
"154","https://medals.org.uk/south-ossetia/south-ossetia-text.htm"
"155","https://medals.org.uk/pakistan/pakistan-text.htm"
"156","https://medals.org.uk/palestine/palestine-text.htm"
"157","https://medals.org.uk/panama/panama-text.htm"
"158","https://medals.org.uk/papua-new-guinea/png-text.htm"
"159","https://medals.org.uk/paraguay/paraguay-text.htm"
"160","https://medals.org.uk/peru/peru-text.htm"
"161","https://medals.org.uk/philippines/philippines-text.htm"
"162","https://medals.org.uk/poland/3republic/3republic-text.htm"
"163","https://medals.org.uk/portugal/portugal-republic/portugal-republic-text.htm"
"164","https://medals.org.uk/prussia/prussia-text.htm"
"165","https://medals.org.uk/qatar/qatar-text.htm"
"166","https://medals.org.uk/rhodesia/rhodesia-text.htm"
"167","https://medals.org.uk/romania/republic-romania/republic-romania-text.htm"
"168","https://medals.org.uk/russia/rf/rf-text.htm"
"169","https://medals.org.uk/rwanda/rwanda-text.htm"
"170","https://medals.org.uk/st-christopher/st-christopher-text.htm"
"171","https://medals.org.uk/samoa/samoa-text.htm"
"172","https://medals.org.uk/san-marino/san-marino-text.htm"
"173","https://medals.org.uk/sarawak/sarawak-text.htm"
"174","https://medals.org.uk/saudi-arabia/saudi-arabia-text.htm"
"175","https://medals.org.uk/saxe-altenburg/saxe-altenburg-text.htm"
"176","https://medals.org.uk/saxe-weimar/saxe-weimar-text.htm"
"177","https://medals.org.uk/saxony/saxony-text.htm"
"178","https://medals.org.uk/schleswig-holstein/schleswig-holstein-text.htm"
"179","https://medals.org.uk/senegal/senegal-text.htm"
"180","https://medals.org.uk/serbia/serbia-republic/serbia-rep-text.htm"
"181","https://medals.org.uk/sierra-leone/sierra-leone-text.htm"
"182","https://medals.org.uk/singapore/singapore-text.htm"
"183","https://medals.org.uk/slovakia/republic-slovakia/republic-slovakia-text.htm"
"184","https://medals.org.uk/slovenia/slovenia-text.htm"
"185","https://medals.org.uk/solomons/solomons-text.htm"
"186","https://medals.org.uk/somalia/somalia-text.htm"
"187","https://medals.org.uk/south-africa/south-africa-text.htm"
"188","https://medals.org.uk/spain/spain-text.htm"
"189","https://medals.org.uk/sri-lanka/sri-lanka-text.htm"
"190","https://medals.org.uk/sudan/sudan-text.htm"
"191","https://medals.org.uk/suriname/suriname-text.htm"
"192","https://medals.org.uk/swaziland/swaziland-text.htm"
"193","https://medals.org.uk/sweden/sweden-text.htm"
"194","https://medals.org.uk/switzerland/switzerland-text.htm"
"195","https://medals.org.uk/syria/syria-text.htm"
"196","https://medals.org.uk/taiwan/taiwan-text.htm"
"197","https://medals.org.uk/tajikistan/tajikistan-text.htm"
"198","https://medals.org.uk/tanzania/tanzania-text.htm"
"199","https://medals.org.uk/tchad/tchad-text.htm"
"200","https://medals.org.uk/thailand/thailand-text.htm"
"201","https://medals.org.uk/togo/togo-text.htm"
"202","https://medals.org.uk/tonga/tonga-text.htm"
"203","https://medals.org.uk/transnistria/transnistria-text.htm"
"204","https://medals.org.uk/trinidad/trinidad-text.htm"
"205","https://medals.org.uk/tunisia/tunisia-text.htm"
"206","https://medals.org.uk/turkey/turkey/turkey-text.htm"
"207","https://medals.org.uk/turkmenistan/turkmenistan-text.htm"
"208","https://medals.org.uk/uganda/uganda-text.htm"
"209","https://medals.org.uk/ukraine/ukraine-republic/ukraine-republic-text.htm"
"210","https://medals.org.uk/uae/uae-text.htm"
"211","https://medals.org.uk/united-kingdom/united-kingdom-text.htm"
"212","https://medals.org.uk/united-nations/united-nations-text.htm"
"213","https://medals.org.uk/usa/usa-text.htm"
"214","https://medals.org.uk/uruguay/uruguay-text.htm"
"215","https://medals.org.uk/uzbekistan/uzbekistan-text.htm"
"216","https://medals.org.uk/vanuatu/vanuatu-text.htm"
"217","https://medals.org.uk/vatican/vatican-text.htm"
"218","https://medals.org.uk/venezuela/venezuela-text.htm"
"219","https://medals.org.uk/north-vietnam/north-vietnam-text.htm"
"220","https://medals.org.uk/south-vietnam/south-vietnam-text.htm"
"221","https://medals.org.uk/wuerttemberg/wuerttemberg-text.htm"
"222","https://medals.org.uk/zambia/zambia-text.htm"
"223","https://medals.org.uk/zimbabwe/zimbabwe/zimbabwe-text.htm"
